Gender,Married,Dependents,Education,Employment_Status,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term_Months,Credit_History,Property_Area,Age,Loan_Status,CIBIL_Score,Annual_Household_Income,Debt_to_Income_Ratio,Purpose_of_Loan,Existing_EMIs,Number_of_Previous_Loans,Default_History_Count,Employment_Length_Years,Asset_Value,Guarantor,Co-signer_Relationship,Monthly_Expense,Organization_Type,Region_Branch,Mobile_Verified,Email_Verified,Loan_to_Annual_Income,Customer_Sentiment,State,Occupation
Female,Yes,1,Graduate,Salaried,34810,0,713636,48,1,Urban,20,Approved,636,417720,0.0,Education,0,0,0,6,1942393,Yes,Sibling,12306,Startup,PUNE-006,Yes,Yes,1.708,Negative,West Bengal,Factory Worker
Male,Yes,1,Graduate,Salaried,50214,36816,4408995,360,1,Rural,48,Approved,701,1044360,0.337,Home,29296,1,0,1,3585328,No,Unknown,34629,Private,DEL-001,Yes,Yes,4.222,Positive,Uttar Pradesh,Marketing Executive
Male,Yes,0,Graduate,Salaried,40922,0,914159,72,1,Urban,40,Approved,702,491064,0.435,Auto,17799,1,0,10,1315754,No,Spouse,17890,Private,HYD-005,Yes,Yes,1.862,Negative,Karnataka,Small Business Owner
Male,No,1,Graduate,Self-Employed,3000,2120,373297,48,0,Urban,44,Rejected,649,61440,3.491,Education,17873,2,1,0,0,No,Unknown,2000,Private,PUNE-006,Yes,Yes,6.076,Positive,Telangana,Shopkeeper
Male,Yes,1,Graduate,Salaried,52543,38533,224179,12,1,Urban,34,Approved,684,1092912,0.322,Personal,29320,2,0,0,2782446,No,Sibling,41561,Private,KOL-004,Yes,Yes,0.205,Negative,Punjab,Shopkeeper
Female,Yes,2,Graduate,Salaried,14238,0,580185,24,0,Rural,39,Rejected,583,170856,2.275,Education,32397,1,0,1,134522,Yes,Friend,10743,Public,DEL-001,Yes,No,3.396,Neutral,Karnataka,Government Officer
Male,Yes,0,Not Graduate,Salaried,15584,0,1553478,240,1,Rural,18,Rejected,685,187008,1.314,Home,20470,0,0,8,1610134,No,Friend,15584,Government,DEL-001,Yes,Yes,8.307,Positive,West Bengal,Teacher
Male,Yes,1,Graduate,Salaried,59470,0,1078150,60,1,Urban,49,Approved,636,713640,0.0,Auto,0,1,0,6,2692528,Yes,Friend,33971,Private,DEL-001,Yes,Yes,1.511,Positive,Tamil Nadu,Factory Worker
Male,No,2,Graduate,Self-Employed,3000,3362,2333119,240,1,Urban,21,Rejected,794,76344,6.704,Home,42652,2,0,3,321186,No,Parent,2000,MNC,BLR-003,Yes,Yes,30.561,Positive,Punjab,Marketing Executive
Female,Yes,1,Graduate,Salaried,96646,23567,525522,36,0,Urban,33,Approved,496,1442556,0.0,Education,0,0,0,1,4949370,No,Sibling,60236,MNC,MUM-002,Yes,Yes,0.364,Neutral,Delhi,Driver
Male,No,2,Graduate,Self-Employed,47615,0,1969454,120,1,Semiurban,30,Approved,796,571380,0.574,Business,27334,1,0,2,1485258,No,Friend,14472,Government,PUNE-006,Yes,Yes,3.447,Positive,Maharashtra,Teacher
Female,Yes,2,Not Graduate,Self-Employed,3000,3028,5165081,300,1,Urban,34,Rejected,652,72336,1.427,Home,8602,1,0,0,190752,No,Friend,5241,Government,HYD-005,Yes,Yes,71.404,Negative,Tamil Nadu,Marketing Executive
Male,Yes,0,Graduate,Salaried,54286,0,2706402,360,0,Rural,49,Rejected,585,651432,0.539,Home,29247,0,0,2,1674868,No,Unknown,21244,Public,CHN-007,Yes,Yes,4.155,Positive,Maharashtra,Civil Engineer
Female,No,3,Not Graduate,Self-Employed,51235,0,4275362,240,1,Semiurban,21,Rejected,650,614820,0.743,Home,38054,0,0,2,1261567,No,Parent,14721,Private,DEL-001,Yes,Yes,6.954,Neutral,Kerala,Teacher
Female,Yes,0,Not Graduate,Self-Employed,45941,0,578007,240,0,Semiurban,41,Approved,578,551292,0.688,Business,31598,1,0,5,1269079,No,Sibling,22303,Startup,BLR-003,No,Yes,1.048,Neutral,West Bengal,Medical Representative
Male,Yes,0,Not Graduate,Salaried,5000,0,2915916,240,1,Semiurban,45,Approved,693,60000,0.0,Business,0,1,0,2,0,No,Unknown,2000,Public,DEL-001,Yes,Yes,48.599,Positive,Uttar Pradesh,Driver
Male,No,0,Graduate,Salaried,12540,13258,693932,300,1,Rural,52,Approved,648,309576,0.132,Home,3412,0,0,5,1151996,No,Spouse,12298,Public,KOL-004,Yes,Yes,2.242,Positive,Delhi,Electrician
Male,No,0,Not Graduate,Self-Employed,36122,0,4125531,120,1,Urban,39,Approved,616,433464,0.0,Home,0,1,0,3,1277754,No,Unknown,11032,Public,HYD-005,Yes,Yes,9.518,Negative,Uttar Pradesh,Chartered Accountant
Female,Yes,1,Graduate,Self-Employed,58076,0,261994,48,1,Semiurban,40,Approved,731,696912,0.0,Auto,0,2,0,2,2170540,No,Company,37739,Government,HYD-005,Yes,Yes,0.376,Neutral,Gujarat,Teacher
Female,Yes,2,Graduate,Unemployed,0,0,1723577,360,0,Rural,23,Rejected,579,0,33083.0,Business,33083,0,0,1,490368,No,Spouse,0,Government,CHN-007,Yes,Yes,100.0,Positive,Tamil Nadu,Farmer
Female,Yes,3,Graduate,Retired,15141,0,267459,60,1,Semiurban,28,Approved,669,181692,0.0,Medical,0,1,0,7,186043,Yes,Friend,7713,MNC,MUM-002,Yes,No,1.472,Neutral,Delhi,Chartered Accountant
Male,No,0,Graduate,Salaried,30953,0,6156409,360,1,Urban,45,Rejected,632,371436,0.841,Home,26039,1,0,0,1879475,No,Friend,10038,Government,DEL-001,Yes,Yes,16.575,Neutral,West Bengal,Farmer
Male,Yes,0,Not Graduate,Unemployed,7230,0,127822,60,0,Urban,29,Rejected,548,86760,1.671,Personal,12081,0,0,0,389080,No,Company,2000,Private,CHN-007,Yes,No,1.473,Neutral,Delhi,Nurse
Male,No,2,Graduate,Salaried,46036,10716,857370,36,1,Rural,36,Approved,633,681024,0.571,Auto,32430,0,0,5,2898625,No,Parent,21118,Startup,MUM-002,Yes,Yes,1.259,Positive,Punjab,Small Business Owner
Male,No,1,Graduate,Unemployed,0,0,383360,48,1,Semiurban,20,Rejected,725,0,38342.0,Personal,38342,1,0,2,0,No,Sibling,0,MNC,DEL-001,Yes,Yes,100.0,Positive,Kerala,Marketing Executive
Male,No,0,Not Graduate,Salaried,18405,952,1588235,240,1,Urban,23,Rejected,804,232284,1.781,Business,34478,1,0,6,0,Yes,Unknown,6327,MNC,PUNE-006,Yes,Yes,6.837,Negative,Maharashtra,Civil Engineer
Male,No,2,Graduate,Salaried,54825,54048,3630508,300,1,Rural,43,Approved,716,1306476,0.374,Home,40688,1,0,0,3360044,Yes,Parent,55655,Startup,CHN-007,No,Yes,2.779,Neutral,Uttar Pradesh,Customer Support Executive
Male,Yes,0,Not Graduate,Salaried,25418,0,272096,48,1,Rural,42,Approved,613,305016,0.656,Renovation,16682,1,0,7,1228693,No,Spouse,16996,Public,CHN-007,Yes,Yes,0.892,Negative,Kerala,Government Officer
Male,Yes,0,Graduate,Salaried,30636,0,58160,60,1,Semiurban,48,Approved,702,367632,0.527,Medical,16134,2,0,0,592364,No,Unknown,12579,MNC,CHN-007,Yes,Yes,0.158,Negative,Kerala,Software Engineer
Male,No,1,Graduate,Salaried,75845,72857,3053789,360,1,Semiurban,27,Approved,676,1784424,0.082,Home,12172,0,0,5,5146668,No,Sibling,58846,Public,KOL-004,Yes,Yes,1.711,Positive,Telangana,Chartered Accountant
Male,Yes,0,Not Graduate,Salaried,84800,0,422225,24,1,Rural,37,Approved,650,1017600,0.219,Education,18555,0,0,5,3122314,No,Parent,37934,Public,MUM-002,Yes,Yes,0.415,Neutral,Punjab,Delivery Partner
Male,Yes,2,Not Graduate,Self-Employed,19830,0,399139,24,1,Rural,21,Approved,698,237960,0.0,Personal,0,1,0,0,639447,No,Parent,19652,Public,BLR-003,Yes,Yes,1.677,Negative,Uttar Pradesh,Electrician
Male,Yes,2,Graduate,Unemployed,6877,0,1957130,360,0,Semiurban,53,Rejected,475,82524,6.454,Business,44387,1,0,0,0,No,Spouse,2000,MNC,BLR-003,Yes,Yes,23.716,Negative,Delhi,Driver
Female,Yes,3,Not Graduate,Retired,3423,0,9434419,180,1,Urban,33,Rejected,734,41076,10.302,Home,35264,1,0,1,0,No,Friend,2000,MNC,BLR-003,No,No,229.682,Negative,Uttar Pradesh,Small Business Owner
Male,Yes,1,Not Graduate,Salaried,73489,0,7590,48,0,Semiurban,34,Approved,557,881868,0.0,Personal,0,0,0,3,2473180,No,Parent,29653,Government,BLR-003,Yes,Yes,0.009,Positive,Telangana,Farmer
Male,No,3,Graduate,Salaried,97012,0,201885,36,1,Urban,26,Approved,664,1164144,0.124,Personal,12001,1,0,1,4199753,No,Parent,47576,MNC,DEL-001,Yes,Yes,0.173,Positive,Uttar Pradesh,IT Consultant
Other,Yes,0,Graduate,Unemployed,0,0,367193,24,0,Semiurban,29,Rejected,562,0,4604.0,Personal,4604,0,0,0,0,Yes,Parent,0,Public,HYD-005,Yes,Yes,100.0,Neutral,Kerala,Small Business Owner
Female,No,3,Not Graduate,Unemployed,5036,0,363559,60,0,Semiurban,18,Rejected,580,60432,0.343,Personal,1729,3,0,1,0,No,Unknown,3666,MNC,HYD-005,Yes,Yes,6.016,Neutral,Kerala,Marketing Executive
Female,No,0,Not Graduate,Self-Employed,37674,17208,487715,60,1,Urban,47,Approved,732,658584,0.0,Education,0,3,0,0,1846729,No,Unknown,18580,Private,CHN-007,Yes,Yes,0.741,Positive,Uttar Pradesh,Teacher
Male,Yes,2,Graduate,Salaried,41296,23539,226276,36,1,Urban,29,Approved,659,778020,0.48,Renovation,31140,1,0,10,1932844,No,Spouse,32061,Startup,MUM-002,Yes,Yes,0.291,Positive,Tamil Nadu,IT Consultant
Male,Yes,1,Graduate,Salaried,86422,0,1975288,360,1,Semiurban,43,Approved,668,1037064,0.185,Business,15978,4,0,0,2845809,No,Company,33623,MNC,BLR-003,Yes,Yes,1.905,Neutral,Maharashtra,Electrician
Male,No,0,Not Graduate,Salaried,53243,0,595022,48,1,Urban,36,Approved,810,638916,0.209,Personal,11131,1,0,5,1681865,Yes,Unknown,17052,Government,BLR-003,Yes,Yes,0.931,Positive,Tamil Nadu,Customer Support Executive
Female,Yes,0,Graduate,Salaried,42283,0,1417993,36,0,Urban,52,Rejected,576,507396,0.253,Auto,10684,0,0,2,951569,Yes,Friend,17088,Government,MUM-002,Yes,Yes,2.795,Positive,Delhi,IT Consultant
Male,Yes,1,Graduate,Retired,35348,0,2223348,180,0,Semiurban,36,Rejected,500,424176,1.355,Business,47907,3,0,0,2212929,Yes,Spouse,4014,Private,KOL-004,No,Yes,5.242,Negative,Delhi,Small Business Owner
Male,No,1,Not Graduate,Salaried,10796,8452,3819853,180,1,Urban,20,Approved,678,230976,0.0,Home,0,1,0,0,36846,No,Unknown,7089,Government,KOL-004,Yes,Yes,16.538,Negative,Punjab,Civil Engineer
Male,Yes,1,Graduate,Retired,8903,2523,572078,60,1,Rural,36,Rejected,697,137112,2.719,Medical,31066,2,0,3,12240,No,Sibling,7348,MNC,CHN-007,Yes,Yes,4.172,Positive,Delhi,Customer Support Executive
Male,Yes,0,Graduate,Unemployed,4003,0,449361,60,1,Urban,35,Rejected,705,48036,8.424,Education,33721,0,0,0,382514,No,Sibling,2000,MNC,PUNE-006,Yes,No,9.355,Positive,West Bengal,IT Consultant
Female,Yes,1,Not Graduate,Self-Employed,45015,0,1191790,360,1,Rural,32,Approved,623,540180,0.0,Business,0,2,0,0,324769,No,Sibling,14458,Public,MUM-002,Yes,Yes,2.206,Positive,Delhi,Electrician
Male,No,0,Graduate,Salaried,21575,15116,8117329,180,1,Rural,33,Approved,684,440292,0.698,Home,25601,2,0,0,1512501,No,Unknown,13658,Public,KOL-004,Yes,Yes,18.436,Negative,Kerala,Medical Representative
Female,Yes,2,Graduate,Unemployed,31483,0,94415,24,0,Rural,33,Approved,550,377796,0.023,Medical,730,0,0,0,656078,No,Spouse,16758,Public,MUM-002,Yes,No,0.25,Neutral,Tamil Nadu,Farmer
Female,No,1,Graduate,Salaried,12347,0,303075,36,1,Semiurban,25,Approved,650,148164,0.0,Auto,0,1,0,2,969099,Yes,Sibling,3608,MNC,HYD-005,No,Yes,2.046,Negative,Delhi,Small Business Owner
Female,Yes,0,Graduate,Retired,25159,0,991991,300,1,Urban,32,Rejected,625,301908,1.14,Home,28689,0,0,3,95219,No,Unknown,7832,Public,BLR-003,Yes,Yes,3.286,Neutral,Gujarat,Teacher
Male,Yes,0,Not Graduate,Salaried,80767,0,198463,36,0,Rural,25,Approved,658,969204,0.185,Education,14976,2,1,0,2900365,No,Unknown,38750,Public,PUNE-006,Yes,Yes,0.205,Positive,Karnataka,Electrician
Male,Yes,0,Graduate,Self-Employed,3000,1930,1885970,180,1,Urban,38,Approved,606,59160,0.0,Business,0,1,0,1,0,No,Spouse,4930,Government,CHN-007,Yes,Yes,31.879,Neutral,Maharashtra,Shopkeeper
Female,Yes,0,Graduate,Salaried,50558,64583,881839,240,1,Semiurban,41,Approved,795,1381692,0.286,Business,32970,1,0,6,4273451,No,Parent,47890,Private,PUNE-006,Yes,Yes,0.638,Neutral,Punjab,Factory Worker
Male,Yes,2,Graduate,Salaried,54674,0,4867180,180,1,Rural,40,Rejected,769,656088,0.893,Home,48836,1,0,2,1372250,Yes,Spouse,24683,Government,MUM-002,Yes,Yes,7.418,Negative,Maharashtra,Factory Worker
Male,Yes,0,Graduate,Salaried,62190,0,1028850,36,1,Urban,28,Approved,602,746280,0.433,Auto,26918,0,0,2,1793555,No,Unknown,31652,Startup,CHN-007,Yes,No,1.379,Positive,Tamil Nadu,Teacher
Male,Yes,0,Graduate,Salaried,41951,0,485996,48,0,Urban,48,Approved,579,503412,0.0,Auto,0,0,0,1,1743279,No,Parent,15861,Public,PUNE-006,Yes,Yes,0.965,Positive,Gujarat,Government Officer
Male,Yes,0,Graduate,Salaried,38503,11079,517802,24,1,Semiurban,35,Approved,723,594984,0.0,Personal,0,2,0,1,2394283,No,Spouse,22922,Government,PUNE-006,Yes,No,0.87,Positive,Karnataka,Medical Representative
Female,Yes,0,Graduate,Salaried,35213,18371,706977,72,1,Semiurban,37,Approved,669,643008,0.089,Auto,4745,1,0,7,1990387,No,Friend,24039,Private,PUNE-006,Yes,Yes,1.099,Negative,West Bengal,Bank Officer
Female,Yes,1,Graduate,Self-Employed,75078,0,1488911,360,1,Urban,31,Approved,671,900936,0.254,Home,19068,1,0,1,3126909,Yes,Parent,27666,Public,BLR-003,No,Yes,1.653,Neutral,Kerala,Chartered Accountant
Male,Yes,3,Graduate,Salaried,38711,8422,515562,36,0,Rural,37,Approved,564,565596,0.357,Personal,16825,0,0,0,1539276,No,Spouse,19967,MNC,KOL-004,Yes,Yes,0.912,Negative,Maharashtra,Electrician
Female,No,1,Not Graduate,Salaried,77753,0,5886175,300,1,Urban,29,Approved,687,933036,0.054,Home,4198,0,0,4,2887537,No,Unknown,32917,Startup,KOL-004,Yes,Yes,6.309,Neutral,Gujarat,Customer Support Executive
Female,Yes,1,Graduate,Self-Employed,68088,0,7308695,300,1,Semiurban,33,Approved,737,817056,0.317,Home,21568,1,0,1,2523879,No,Parent,37626,Private,KOL-004,Yes,Yes,8.945,Neutral,Tamil Nadu,Marketing Executive
Female,Yes,0,Not Graduate,Self-Employed,12412,0,1383687,60,1,Urban,42,Approved,749,148944,0.0,Auto,0,1,0,2,994772,No,Sibling,5850,MNC,DEL-001,Yes,Yes,9.29,Positive,Uttar Pradesh,Nurse
Male,Yes,0,Not Graduate,Unemployed,24306,0,3400097,360,1,Urban,26,Rejected,771,291672,1.773,Home,43090,0,0,2,918327,Yes,Unknown,5935,Public,KOL-004,Yes,Yes,11.657,Positive,Gujarat,Medical Representative
Male,No,0,Not Graduate,Self-Employed,11375,4842,131710,24,1,Urban,29,Approved,649,194604,0.336,Renovation,5443,0,0,9,479714,Yes,Unknown,9612,Private,HYD-005,Yes,Yes,0.677,Negative,Telangana,Teacher
Female,No,2,Graduate,Self-Employed,18608,9732,2111719,180,1,Urban,37,Approved,656,340080,0.0,Business,0,2,0,0,718250,No,Parent,7245,Private,CHN-007,Yes,Yes,6.209,Negative,Delhi,Teacher
Male,Yes,0,Graduate,Unemployed,7541,7130,1397148,240,1,Rural,29,Approved,760,176052,1.199,Business,17594,0,0,0,816285,No,Parent,5604,Private,HYD-005,Yes,Yes,7.936,Negative,Punjab,Farmer
Male,No,3,Not Graduate,Unemployed,13730,0,449488,24,1,Semiurban,28,Rejected,662,164760,1.526,Personal,20957,1,0,0,526792,No,Sibling,10561,Private,BLR-003,Yes,Yes,2.728,Negative,Maharashtra,Government Officer
Female,Yes,1,Graduate,Salaried,22082,0,10557792,360,1,Urban,32,Approved,692,264984,0.134,Home,2969,2,0,3,467125,Yes,Friend,4714,Public,PUNE-006,Yes,Yes,39.843,Neutral,Gujarat,Bank Officer
Male,Yes,0,Not Graduate,Self-Employed,49714,0,1070118,36,1,Semiurban,38,Approved,632,596568,0.358,Auto,17806,0,0,3,1583364,No,Company,24554,Government,KOL-004,Yes,Yes,1.794,Positive,Telangana,Driver
Female,Yes,1,Graduate,Unemployed,8017,0,687424,240,1,Rural,47,Rejected,605,96204,1.504,Business,12057,0,0,1,725078,No,Unknown,8017,Government,BLR-003,Yes,No,7.145,Negative,West Bengal,Nurse
Female,Yes,0,Not Graduate,Salaried,32402,0,4309249,120,0,Rural,28,Approved,562,388824,0.0,Home,0,2,0,0,1054542,No,Unknown,22427,Startup,HYD-005,Yes,Yes,11.083,Neutral,Kerala,Bank Officer
Female,Yes,0,Not Graduate,Salaried,24982,0,973074,240,1,Rural,45,Approved,671,299784,0.526,Business,13139,0,0,4,231859,No,Unknown,15589,Startup,PUNE-006,Yes,Yes,3.246,Negative,Telangana,Driver
Male,Yes,1,Graduate,Salaried,90164,0,348360,60,1,Rural,26,Approved,752,1081968,0.233,Medical,21028,0,0,2,3237267,No,Spouse,44831,Private,CHN-007,Yes,Yes,0.322,Negative,Tamil Nadu,Shopkeeper
Male,No,1,Graduate,Self-Employed,34677,27354,918290,48,0,Semiurban,30,Rejected,553,744372,0.242,Auto,14986,0,2,7,2412430,No,Unknown,36553,Private,HYD-005,Yes,Yes,1.234,Positive,Telangana,Farmer
Female,Yes,1,Not Graduate,Salaried,15020,0,841626,180,0,Rural,51,Approved,535,180240,0.0,Business,0,1,0,1,601229,No,Spouse,15020,Public,DEL-001,Yes,Yes,4.669,Neutral,Delhi,Delivery Partner
Female,No,0,Graduate,Salaried,60014,0,4345314,240,1,Semiurban,46,Approved,717,720168,0.147,Business,8814,1,0,0,2908562,No,Unknown,20856,MNC,HYD-005,Yes,Yes,6.034,Negative,Tamil Nadu,Government Officer
Male,No,1,Graduate,Salaried,20054,0,3827883,240,1,Urban,35,Rejected,645,240648,0.487,Home,9757,1,0,0,644079,No,Friend,7261,Public,PUNE-006,Yes,Yes,15.907,Negative,Telangana,Teacher
Female,Yes,3,Graduate,Salaried,69705,51408,263297,36,1,Rural,37,Approved,710,1453356,0.41,Personal,49678,0,0,1,5110198,Yes,Unknown,50502,MNC,CHN-007,Yes,Yes,0.181,Negative,Karnataka,Software Engineer
Male,Yes,1,Not Graduate,Salaried,55140,0,3100027,300,0,Rural,19,Rejected,593,661680,0.99,Home,54583,1,0,5,2477406,No,Company,29079,MNC,CHN-007,Yes,Yes,4.685,Neutral,Punjab,Factory Worker
Female,Yes,0,Not Graduate,Salaried,53422,0,3481304,360,1,Urban,36,Approved,635,641064,0.416,Home,22221,1,0,0,3062900,Yes,Unknown,20562,Startup,DEL-001,Yes,Yes,5.431,Neutral,Uttar Pradesh,Shopkeeper
Male,No,0,Graduate,Self-Employed,12853,11343,1172373,240,0,Rural,35,Rejected,534,290352,0.567,Home,13719,2,0,1,778052,No,Parent,13833,Government,BLR-003,Yes,Yes,4.038,Positive,Tamil Nadu,Farmer
Male,Yes,0,Graduate,Salaried,38993,32908,4880220,360,1,Rural,42,Approved,752,862812,0.43,Home,30898,2,0,3,3180345,Yes,Friend,33899,MNC,PUNE-006,Yes,Yes,5.656,Negative,Tamil Nadu,Software Engineer
Male,No,0,Graduate,Self-Employed,49250,0,1018908,120,1,Urban,35,Approved,610,591000,0.035,Business,1705,1,0,2,1707947,No,Unknown,16733,Public,DEL-001,Yes,Yes,1.724,Positive,Uttar Pradesh,Shopkeeper
Male,Yes,0,Graduate,Self-Employed,81622,0,433449,24,0,Rural,33,Approved,700,979464,0.402,Personal,32805,0,1,0,3169303,No,Spouse,40649,Startup,HYD-005,Yes,Yes,0.443,Positive,Punjab,Civil Engineer
Male,No,0,Graduate,Salaried,68331,0,1269244,240,1,Urban,25,Approved,662,819972,0.5,Home,34170,1,0,2,2251161,No,Spouse,38274,Government,DEL-001,No,Yes,1.548,Neutral,Punjab,Customer Support Executive
Male,Yes,0,Graduate,Salaried,77543,0,6475980,240,0,Urban,31,Rejected,597,930516,0.377,Home,29239,1,0,1,2623657,No,Unknown,29288,Government,CHN-007,Yes,Yes,6.96,Neutral,Kerala,Delivery Partner
Female,Yes,0,Graduate,Salaried,54712,39651,2713574,360,1,Semiurban,31,Approved,653,1132356,0.189,Home,17866,1,0,0,3412205,No,Unknown,35326,Startup,DEL-001,Yes,Yes,2.396,Neutral,Gujarat,Government Officer
Male,Yes,0,Graduate,Salaried,38159,0,3297733,240,0,Urban,49,Rejected,542,457908,0.227,Business,8673,0,2,0,1645240,Yes,Spouse,16161,MNC,PUNE-006,Yes,Yes,7.202,Neutral,Uttar Pradesh,Bank Officer
Male,No,0,Graduate,Unemployed,0,0,2387382,180,1,Rural,40,Approved,629,0,0.0,Business,0,1,0,0,166359,No,Spouse,0,Startup,CHN-007,No,No,100.0,Negative,Telangana,Driver
Male,No,0,Graduate,Salaried,19274,0,333048,24,1,Urban,21,Approved,679,231288,0.791,Personal,15250,1,0,2,777110,No,Spouse,8727,Private,DEL-001,Yes,Yes,1.44,Positive,Telangana,Delivery Partner
Male,No,2,Not Graduate,Salaried,40421,0,193923,24,0,Urban,18,Approved,534,485052,0.053,Renovation,2162,0,0,2,1360233,Yes,Parent,18516,MNC,CHN-007,Yes,Yes,0.4,Negative,Uttar Pradesh,Small Business Owner
Female,No,0,Graduate,Self-Employed,40475,0,1077529,48,0,Urban,43,Rejected,517,485700,0.947,Auto,38330,1,3,3,1679172,No,Parent,20885,Startup,DEL-001,Yes,Yes,2.219,Positive,Karnataka,Teacher
Male,No,3,Graduate,Salaried,48554,51035,429966,60,1,Urban,36,Approved,621,1195068,0.06,Auto,5995,2,0,2,3167498,No,Spouse,40835,Private,KOL-004,Yes,Yes,0.36,Positive,Uttar Pradesh,Customer Support Executive
Female,Yes,3,Graduate,Self-Employed,3000,805,546702,72,1,Rural,41,Approved,679,45660,0.782,Auto,2974,4,0,1,444365,Yes,Friend,2000,Public,DEL-001,Yes,Yes,11.973,Neutral,West Bengal,Software Engineer
Female,Yes,1,Graduate,Unemployed,5792,2637,431628,36,1,Rural,43,Rejected,605,101148,0.842,Personal,7094,1,0,0,140120,No,Unknown,2000,MNC,KOL-004,Yes,Yes,4.267,Negative,Kerala,Civil Engineer
Female,Yes,0,Not Graduate,Salaried,78837,0,561977,360,1,Semiurban,40,Approved,715,946044,0.36,Business,28402,1,0,4,2239183,No,Parent,37329,Public,BLR-003,Yes,No,0.594,Neutral,Gujarat,Teacher
Female,No,1,Graduate,Self-Employed,56692,0,6888912,120,1,Rural,38,Approved,753,680304,0.191,Home,10848,0,0,5,1920406,No,Parent,26656,MNC,CHN-007,Yes,Yes,10.126,Negative,Uttar Pradesh,Medical Representative
Male,No,0,Graduate,Self-Employed,3000,0,594120,48,1,Urban,39,Rejected,657,36000,4.926,Auto,14777,1,0,4,317213,No,Spouse,2000,Private,HYD-005,Yes,Yes,16.503,Neutral,Gujarat,Marketing Executive
Male,No,1,Not Graduate,Retired,15176,0,487578,240,0,Urban,48,Rejected,549,182112,2.187,Business,33186,1,0,0,944431,No,Friend,8276,MNC,KOL-004,Yes,Yes,2.677,Negative,Tamil Nadu,Customer Support Executive
Male,No,0,Graduate,Self-Employed,30038,0,6067449,360,0,Semiurban,37,Rejected,597,360456,0.867,Home,26055,2,0,2,896963,No,Spouse,13816,Private,KOL-004,Yes,Yes,16.833,Positive,Maharashtra,Chartered Accountant
Male,No,0,Graduate,Self-Employed,3000,0,34796,60,1,Rural,30,Approved,611,36000,0.0,Renovation,0,0,0,2,199736,No,Company,2000,Startup,CHN-007,Yes,Yes,0.967,Neutral,Tamil Nadu,Bank Officer
Male,No,0,Graduate,Self-Employed,14348,0,515943,12,0,Urban,52,Rejected,557,172176,2.965,Renovation,42536,1,0,0,367475,No,Spouse,10798,Public,HYD-005,Yes,No,2.997,Positive,Tamil Nadu,Teacher
Male,No,2,Not Graduate,Self-Employed,3000,0,283854,24,1,Rural,44,Approved,669,36000,0.0,Personal,0,0,0,0,1168496,No,Parent,3000,Government,CHN-007,Yes,Yes,7.885,Neutral,Kerala,Software Engineer
Male,Yes,0,Not Graduate,Salaried,46175,0,59061,24,0,Rural,37,Approved,596,554100,0.0,Personal,0,1,0,0,1448966,Yes,Parent,30794,Startup,HYD-005,No,Yes,0.107,Negative,Gujarat,Nurse
Male,No,1,Graduate,Unemployed,12088,0,383939,48,0,Urban,53,Rejected,412,145056,2.593,Education,31347,5,0,0,0,No,Spouse,10577,MNC,HYD-005,Yes,Yes,2.647,Negative,Delhi,Farmer
Male,Yes,0,Not Graduate,Salaried,42038,0,521054,60,1,Urban,30,Approved,649,504456,0.898,Auto,37763,0,0,1,771102,No,Unknown,21118,MNC,DEL-001,Yes,Yes,1.033,Negative,Uttar Pradesh,Civil Engineer
Female,No,1,Graduate,Unemployed,3713,1352,10515391,360,0,Semiurban,34,Rejected,689,60780,3.454,Home,17494,0,1,1,0,No,Company,2000,Government,KOL-004,Yes,Yes,173.007,Positive,Uttar Pradesh,Government Officer
Other,Yes,2,Graduate,Retired,12895,0,502425,24,1,Rural,42,Rejected,675,154740,2.408,Education,31045,1,0,4,0,No,Company,6564,Government,CHN-007,Yes,No,3.247,Negative,Gujarat,Chartered Accountant
Female,Yes,3,Graduate,Retired,10802,7696,666512,24,0,Rural,22,Approved,654,221976,0.0,Personal,0,1,1,0,350903,No,Spouse,4653,Startup,HYD-005,Yes,Yes,3.003,Positive,Delhi,Medical Representative
Female,No,2,Graduate,Salaried,20219,0,553172,60,1,Rural,32,Approved,878,242628,0.573,Renovation,11578,1,0,0,322793,No,Unknown,2000,MNC,PUNE-006,Yes,Yes,2.28,Neutral,Maharashtra,Delivery Partner
Female,No,3,Not Graduate,Salaried,79030,0,625373,48,0,Rural,32,Rejected,528,948360,0.381,Auto,30140,1,3,2,2872028,No,Unknown,28932,Private,BLR-003,Yes,Yes,0.659,Neutral,Delhi,Nurse
Female,Yes,1,Graduate,Salaried,43508,0,815784,48,1,Urban,47,Approved,630,522096,1.36,Auto,59159,0,0,10,1342966,Yes,Parent,28229,Private,CHN-007,Yes,No,1.563,Positive,Uttar Pradesh,IT Consultant
Female,Yes,0,Graduate,Salaried,104181,16224,1025968,360,1,Semiurban,35,Approved,640,1444860,0.277,Business,33298,0,0,7,5427445,No,Parent,38598,MNC,MUM-002,Yes,No,0.71,Negative,Delhi,Software Engineer
Female,Yes,1,Graduate,Retired,22391,25423,303999,36,0,Rural,38,Approved,522,573768,0.146,Personal,7003,3,0,4,1208694,No,Friend,23224,Government,PUNE-006,Yes,Yes,0.53,Positive,West Bengal,Marketing Executive
